求人№,社名,主事業,副事業,本社,年間売り上げ,"月間給与（例200,000日円=9,300人民元）",年間休日,平均有給取得日,追加情報
2024071877,SATO社会保険労務士法人（SATO GROUP）,専門コンサルティング,専門コンサルティング,北海道、東京都,"46億1,500万円（2023年3月実績）","175,000円～221,020円",120日,7日（2023年）,月平均残業時間:20.4時間:
2024071879,(株)フェニックス,商社（自動車関連・輸送用機器）,"商社（自動車関連・輸送用機器）																				、専門店（自動車関連）、生命保険、損害保険、自動車・自動車部品",神奈川県,"132億0,000万円（2023年6月）","220,000円～250,000円",111日,10日（2023年）,月平均残業時間:15.5時間:
2024071880,児湯食鳥グループ【(株)児湯食鳥・(株)九州児湯フーズ・(株)西日本児湯フーズ・トリキ(株)】,食品,"食品																				、商社（食品・農林・水産）、農林・水産",福岡県、宮崎県,"児湯食鳥単体656億円／グループ合計1,639億円（令和6年3月期）","225,000円",105日,確認中,確認中確認中
2024071881,(株)松井製作所,機械,"機械																				、機械設計、商社（機械・プラント・環境）、その他メーカー、精密機器",東京都、大阪府,230億円（2021年度：連結）,"201,000円～240,000円",117日,確認中,月平均残業時間:25.7時間:
2024071883,(株)シティホームズ,不動産,"不動産																				、住宅、住宅（リフォーム）、不動産（管理）、専門コンサルティング",東京都,217億円,"280,000円",120日,7日（2023年）,確認中確認中
2024071884,(株)ティーヴィボックス,放送,"放送																				、広告、広告制作・Web制作、芸能・映画・音楽",東京都,規定により未公開,"238,000円",確認中,確認中,確認中確認中
2024071885,(株)レーベンホームビルド,住宅,"住宅																				、建設、不動産、不動産（管理）、空間デザイン・ディスプレイ",東京都,女性100.0％,"200,000円",120日,確認中,月平均残業時間:30時間:
2024071886,(株)伝創社,広告,"広告																				、広告制作・Web制作、シンクタンク・マーケティング・調査、専門コンサルティング、イベント・興行",東京都,社内規定で非公開,"231,000円",120日,11.6日（2023年）,月平均残業時間:17時間:
2024071889,須藤建設(株),住宅,"住宅																				、建設",北海道,2023年5月31日　48億円,"177,788円～220,040円",105日,7.4日（2023年）,女性管理職割合17.2％（2023年）
2024071890,(株)フクール,情報処理,"情報処理																				、商社（文具・事務用品・日用品）、ソフトウエア",富山県,"1億8,400万円（2022年7月決算）","212,403円～225,353円",115日,10日（2022年）,確認中確認中
2024071891,キヤノンアネルバ(株)【キヤノングループ】,機械,"機械																				、半導体・電子・電気機器、精密機器",神奈川県,345億円（2023年12月期）,"193,000円～300,000円",125日,13.1日（2022年）,月平均残業時間:16.2時間:
2024071893,(株)太洋自動車学校,教育,"教育																				、サービス（その他）、自動車・自動車部品、財団・社団・その他団体",愛知県,非公開,"180,000円",125日,10日（2022年）,月平均残業時間:24時間:
2024071894,(株)柄谷工務店【KARATANIグループ】,建設,"建設																				、住宅、住宅（リフォーム）、建築設計",兵庫県,184億円(2019年実績),"211,000円～262,000円",105日～122日,確認中,確認中確認中
2024071895,(株)英光,金属製品,"金属製品																				、機械、機械設計、精密機器、食品",埼玉県,6億6千万(2023年度),"178,000円～201,000円",108日,13日（2023年）,確認中確認中
2024071896,一般社団法人　福祉心話会,福祉サービス,"福祉サービス																				、食品、給食・デリカ・フードビジネス、芸術関連、化粧品",東京都、兵庫県,12億　(2023年3月実績),"180,000円～218,300円",110日,15日（2021年）,確認中確認中
2024071897,(株)シアンス,情報処理,"情報処理																				、ソフトウエア",新潟県,"4億3,770万円（2023年3月期）","165,000円～192,000円",111日,13.5日（2022年）,月平均残業時間:11.0時間:
2024071898,(株)リスキル,教育,"教育																				、専門コンサルティング、コンサルティングファーム、各種ビジネスサービス・BPO",東京都,非公開,"240,000円",120日,8.8日（2022年）,確認中確認中
2024071899,(株)図研【東証プライム上場】,ソフトウエア,"ソフトウエア																				、半導体・電子・電気機器、自動車・自動車部品",神奈川県,"350億7,300万円（2023年3月期実績/連結）","240,570円～345,900円",126日,11.8日（2023年）,月平均残業時間:19.6時間:
2024071900,ベングループ【(株)NCK(アパマンショップ)、日本地建(株)、(株)札幌カンリセンター、(株)ベン、(株)セグロス、 (株)江上 】,不動産,"不動産																				、不動産（管理）、住宅、ホテル・旅館、商社（化学・石油・ガス・電気）",北海道,39億円（グループ合計）,"204,000円～230,020円",110日,確認中,確認中確認中
