求人№,社名,主事業,本社,年間売り上げ,"月間給与
（例200千円=9300人民元）",年間休日,平均有給取得日,追加情報
2024071776,日本プラスト(株),自動車・自動車部品,静岡県,1033億,182千円～217千円,121日,確認中,平均勤続年数:15.8年（2023年）
2024071777,日本BCP(株),物流・倉庫,東京都、大阪府,約16億,190千円～210千円,120日,8日（2022年）,月平均残業時間:20時間:
2024071779,(株)アクセスオンライン,商社（通信）,東京都、大阪府,265億,250千円,110日,確認中,確認中
2024071780,ハウスリンクマネジメント(株),不動産,東京都,40億,257千円,130日,確認中,月平均残業時間:10時間:
2024071781,(株)TREND　LINE,商社（インテリア・住宅関連）,東京都、愛知県,2023年度　3億,240千円,125日,確認中,平均勤続年数:4年（2023年）
2024071782,平和交通(株),陸運（貨物・バス・タクシー）,東京都、神奈川県,65億,172千円～210千円,109日,8日（2021年）,平均勤続年数:14年（2021年）
2024071783,(株)レガーレ,不動産,東京都,1.5億,230千円,125日,5日（2022年）,月平均残業時間:20時間:
2024071784,(株)キャリア・ブランディング,専門コンサルティング,東京都、大阪府,265億,250千円,110日,確認中,確認中
2024071785,(株)KARADEMO,芸能・映画・音楽,東京都,社内規定により非公開,220千円～300千円,120日,15日（2023年）,月平均残業時間:20時間:
2024071786,(株)ニイテック,自動車・自動車部品,広島県,138億,180千円～202千円,121日,10日（2022年）,平均勤続年数:11.3年（2023年）
2024071787,赤田工業(株),機械,長野県,7億,170千円～208千円,111日,7日（2023年）,平均勤続年数:9.8年（2023年）
2024071788,田中サッシュ工業(株),インテリア・住宅関連,神奈川県,24億,181千円～209千円,118日,11.1日（2022年）,平均勤続年数:16.5年（2022年）
2024071789,とまと情報(株),ソフトウエア,東京都,113000000円,220千円～225千円,130日,10日（2023年）,月平均残業時間:10時間:
2024071790,(株)松本商店,金属製品,福岡県,30億,216千円～226千円,115日,20日（2022年）,平均勤続年数:9年（2022年）
2024071791,(株)HSフィールド,不動産,埼玉県,4億,270千円,125日,8日（2023年）,平均勤続年数:3年（2023年）
2024071792,パラカ(株),不動産（管理）,東京都,公開,275千円,120日,12.1日（2023年）,平均勤続年数:7年（2023年）
2024071793,日本タングステン(株),非鉄金属,福岡県,公開,200千円～235千円,128日,14.2日（2022年）,平均勤続年数:16.3年（2022年）
2024071794,(株)モトヤマ,機械,大阪府,60億,230千円～255千円,123日,8.8日（2022年）,平均勤続年数:15年（2022年）
2024071795,鴻池運輸(株),物流・倉庫,東京都、大阪府,3150億,193千円～226千円,125日,9.5日（2023年）,平均勤続年数:16.0年（2022年）
2024071796,(株)近鉄コスモス,物流・倉庫,東京都,111億,201千円～205千円,121日,15日（2023年）,平均勤続年数:15年（2023年）
2024071797,(株)エスケーアイ,商社（通信）,愛知県,10095百万円,196千円～250千円,111日,11日（2023年）,月平均残業時間:9.8時間:
2024071798,シリコンテクノロジー(株),商社（電子・電気機器・OA機器）,東京都,59億,251千円～280千円,128日,10.5日（2023年）,平均勤続年数:11.6年（2023年）
2024071799,開発運輸建設(株),建設,北海道,7億,209千円～229千円,105日,7.5日（2023年）,確認中
2024071800,空港ターミナルサービス(株),空港サービス,千葉県,11億,201千円,121日,9日（2022年）,月平均残業時間:6時間:
2024071801,金子工業(株),建設,岐阜県,売上高　53億,200千円～220千円,120日,11.6日（2023年）,月平均残業時間:10時間:
2024071802,(株)ユリカコーポレーション,不動産,東京都,60億,240千円～260千円,確認中,5日（2023年）,確認中
2024071804,学校法人エール学園,学校法人,大阪府,学校法人のためなし,224千円～239千円,121日,13日（2022年）,女性管理職割合47.6％（2022年）
2024071805,(株)Jストリーム,インターネット関連,東京都,26期,216千円～254千円,123日,11日（2023年）,月平均残業時間:18時間:
2024071806,(株)ダブルクロップ,インターネット関連,東京都,社内規定により非公開,223千円,125日,確認中,月平均残業時間:9時間:
2024071807,ル・グラシエルビルディング(株),不動産,東京都,26億,230千円～235千円,120日,16日（2023年）,月平均残業時間:0.5時間:
2024071808,スタンレー電気(株),半導体・電子・電気機器,東京都,単体：1559億,194千円～236千円,121日,11.8日（2022年）,月平均残業時間:18.3時間:
2024071809,(株)津南高原開発,ホテル・旅館,新潟県,8億,170千円～180千円,107日,10.6日（2022年）,月平均残業時間:9.4時間:
2024071811,(株)Skyfall,広告,東京都,会社規定のため非公開,250千円,122日,7日（2023年）,確認中
2024071812,トラムシステム(株),通信・インフラ,愛知県,FY2023　6億,200千円,120日,10日（2022年）,月平均残業時間:8.2時間:
2024071813,ジェイズ・テクノロジー(株),ソフトウエア,東京都,非公開,220千円～235千円,124日,確認中,確認中
2024071814,(株)丸山製作所,機械,東京都,375億,204千円～249千円,125日,14.6日（2023年）,月平均残業時間:10.6時間:
2024071815,(株)ラソルテ,ソフトウエア,東京都,2億,250千円～265千円,127日,確認中,確認中
2024071816,大阪ダイハツ販売(株),商社（自動車関連・輸送用機器）,大阪府,416億,189千円～204千円,110日,8.8日（2022年）,月平均残業時間:8.1時間:
2024071817,(株)キッツメタルワークス,非鉄金属,長野県,325億,195千円～235千円,124日,11.7日（2023年）,月平均残業時間:8.4時間:
2024071818,札幌トヨペット(株),商社（自動車関連・輸送用機器）,北海道,354億,179千円～220千円,115日,5日（2022年）,月平均残業時間:24.9時間:
2024071819,浅利観光(株),ホテル・旅館,島根県,19億,185千円～190千円,101日,10日（2023年）,月平均残業時間:10時間:
2024071820,いわさきグループ,商社（複合）,鹿児島県,388億,185千円～210千円,105日,9.2日（2022年）,月平均残業時間:7.8時間:
2024071821,(株)ワークマン,アパレル（メーカー）,群馬県、東京都,■1698億,255千円～265千円,120日,9日（2022年）,月平均残業時間:11時間:
2024071822,(株)DAIEI,建設,愛知県,15億,220千円,10日（2021年）,確認中,月平均残業時間:10時間:
2024071825,東京ラヂエーター製造(株),自動車・自動車部品,神奈川県,317億,230千円～247千円,122日,13.2日（2023年）,月平均残業時間:17.9時間:
2024071828,(株)共英,商社（機械・プラント・環境）,東京都,12億,270千円～280千円,125日,12日（2022年）,月平均残業時間:13時間:
2024071829,(株)神戸物産 ,食品,兵庫県,単体／4468億,200千円～241千円,118日,13.7日（2022年）,月平均残業時間:23.9時間:
2024071830,(株)NEW,商社（自動車関連・輸送用機器）,大阪府,4634億,230千円～286千円,120日,確認中,確認中
2024071831,(株)アズマシティ開発,不動産,熊本県,４億,189千円～201千円,110日,10日（2022年）,月平均残業時間:20時間:
2024071832,パーク24グループ,不動産,東京都,330123百万円,246千円～271千円,125日,10.5日（2023年）,月平均残業時間:15.9時間:
2024071833,(株)トモエシステム,商社（機械・プラント・環境）,兵庫県,165億,230千円～235千円,124日,11.3日（2022年）,月平均残業時間:10.4時間:
2024071834,(株)Aright,商社（複合）,東京都、大阪府,265億,250千円,110日,確認中,確認中
2024071835,社会福祉法人敬寿会,福祉サービス,山形県,12日,157千円～274千円,114日,12日（2023年）,月平均残業時間:3.9時間:
2024071836,杉乃井ホテル＆リゾート(株),ホテル・旅館,大分県,非公開,185千円～200千円,10年（2022年）,30時間,確認中
2024071840,(株)エーエルジェイ,ソフトウエア,東京都,12億,242千円,130日,14.2日（2023年）,月平均残業時間:10.1時間:
2024071841,山根土建(株),建設,北海道,16億,209千円～233千円,120日,9.3日（2022年）,月平均残業時間:11.5時間:
2024071842,NOK(株),自動車・自動車部品,東京都,,216千円～276千円,121日,16.9日（2022年）,月平均残業時間:15.1時間:
2024071843,(株)三協デリカ,食品,福岡県、熊本県,118億,210千円～220千円,122日,10日（2023年）,確認中
2024071844,タカヤマ金属工業(株),金属製品,埼玉県、大阪府,72億,204千円～232千円,120日,12.9日（2023年）,月平均残業時間:6.4時間:
2024071845,信光工業(株),機械,長野県,1696130千円,166千円～192千円,110日,6日（2021年）,月平均残業時間:1時間:
2024071846,ムロオグループ,物流・倉庫,広島県,10.5日,185千円～246千円,106日～112日,10.5日（2022年）,月平均残業時間:22.1時間:
2024071847,東亜電気工業(株),商社（複合）,東京都,662億,264千円,122日,15.1日（2023年）,月平均残業時間:4.0時間:
2024071848,大嘉産業(株),商社（複合）,東京都、大阪府,157億,210千円～213千円,126日,11日（2023年）,月平均残業時間:10時間:
2024071849,システムメトリックス(株),ソフトウエア,愛知県,21億,240千円～260千円,121日,16.5日（2023年）,月平均残業時間:16時間:
2024071851,(株)アーク,農林・水産,岩手県,65億,190千円～247千円,105日,8日（2022年）,月平均残業時間:10時間:
2024071852,ホテルニューアワジグループ,ホテル・旅館,兵庫県,グループ全体163億,200千円～220千円,確認中,確認中,確認中
2024071853,ヒューマンライフケア(株),福祉サービス,東京都,8.6日,195千円～215千円,110日,8.6日（2022年）,月平均残業時間:8.9時間:
2024071854,(株)金宝堂,冠婚葬祭,千葉県、東京都,350億,213千円～248千円,10日（2023年）,確認中,女性管理職割合37.5％（2023年）
2024071855,FESホールディングスグループ,プラント・エンジニアリング,東京都,13億,200千円～215千円,122日,14.9日（2023年）,月平均残業時間:14.6時間:
2024071856,フェンリル(株),ソフトウエア,東京都、大阪府,当社規定により非公開,245千円,125日,11.3日（2022年）,確認中
2024071857,(株)プリンセススクゥエアー,不動産,東京都,119億,195千円～202千円,104日～120日,11日（2023年）,月平均残業時間:18時間:
2024071859,(株)サンフィールド,フィットネスクラブ,神奈川県,66.9億,216千円～234千円,120日,確認中,月平均残業時間:5時間:
2024071860,ベース(株),情報処理,東京都,132億,250千円～266千円,確認中,確認中,月平均残業時間:15.1時間:
2024071861,(株)GENEVIS,芸能・映画・音楽,東京都,非公開,215千円,確認中,7.8日（2023年）,確認中
2024071862,メディカル・ケア・サービス東海(株),福祉サービス,岐阜県,非公開,181千円～220千円,114日,7.3日（2023年）,確認中
2024071863,北星ゴム工業(株),タイヤ・ゴム製品,富山県,64億,180千円～234千円,115日,10.5日（2023年）,確認中
2024071864,黒田化学(株),自動車・自動車部品,富山県,連結:220億,187千円～234千円,116日,10.2日（2022年）,月平均残業時間:18.2時間:
2024071865,(株)SIG,情報処理,東京都,69億,186千円～250千円,123日,11.3日（2023年）,月平均残業時間:14.7時間:
2024071866,富士通クライアントコンピューティング(株),コンピュータ・通信機器,神奈川県,非公開,214千円～274千円,127日,14日（2022年）,月平均残業時間:29.5時間:
2024071867,DOTOWN(株),不動産,東京都,50億,230千円,10.4日（2023年）,確認中,月平均残業時間:15時間:
2024071868,高圧ガス工業(株),ガス・エネルギー,大阪府,538億,196千円～241千円,125日,9日（2022年）,月平均残業時間:10.3時間:
2024071869,(株)エムピーキッチン,食品,東京都,23年： 22年：56億,251千円～280千円,確認中,7.5日（2023年）,確認中
2024071870,トーシングループ,商社（通信）,愛知県,連結　169億,180千円～250千円,確認中,5.0日（2023年）,確認中
2024071871,(株)あぶらや燈千,ホテル・旅館,長野県,４億,240千円,105日,5日（2022年）,女性管理職割合50.0％（2022年）
2024071872,アーバンホテルシステム(株),ホテル・旅館,京都府,30億,208千円～225千円,108日,確認中,確認中
2024071873,(株)不動産のデパートひろた,不動産,福岡県,25億,206千円～267千円,114日,12.8日（2023年）,月平均残業時間:12.6時間:
2024071874,カトープレジャーグループ,ホテル・旅館,東京都、大阪府,328億,181千円～245千円,107日,9日（2022年）,確認中
2024071875,グローブシップ(株),ビル施設管理・メンテナンス,東京都,単体：　約410億,200千円～220千円,確認中,14日（2024年）,月平均残業時間:15時間:
2024071876,東芝ライフスタイルグループ,家電・ＡＶ機器,東京都、神奈川県,非公開,187千円～269千円,126日,15.4日（2022年）,月平均残業時間:19時間:
2024071877,SATO社会保険労務士法人（SATO GROUP）,専門コンサルティング,北海道、東京都,46億,175千円～221千円,120日,7日（2023年）,月平均残業時間:20.4時間:
2024071879,(株)フェニックス,商社（自動車関連・輸送用機器）,神奈川県,132億,220千円～250千円,111日,10日（2023年）,月平均残業時間:15.5時間:
2024071880,児湯食鳥グループ,食品,福岡県、宮崎県,児湯食鳥単体656億,225千円,105日,確認中,確認中
2024071881,(株)松井製作所,機械,東京都、大阪府,230億,201千円～240千円,117日,確認中,月平均残業時間:25.7時間:
2024071883,(株)シティホームズ,不動産,東京都,217億,280千円,120日,7日（2023年）,確認中
2024071884,(株)ティーヴィボックス,放送,東京都,規定により未公開,238千円,確認中,確認中,確認中
2024071885,(株)レーベンホームビルド,住宅,東京都,女性100.0％,200千円,120日,確認中,月平均残業時間:30時間:
2024071886,(株)伝創社,広告,東京都,社内規定で非公開,231千円,120日,11.6日（2023年）,月平均残業時間:17時間:
2024071889,須藤建設(株),住宅,北海道,2023年5月31日　48億,177千円～220千円,105日,7.4日（2023年）,女性管理職割合17.2％（2023年）
2024071890,(株)フクール,情報処理,富山県,1億,212千円～225千円,115日,10日（2022年）,確認中
2024071891,キヤノンアネルバ(株),機械,神奈川県,345億,193千円～300千円,125日,13.1日（2022年）,月平均残業時間:16.2時間:
2024071893,(株)太洋自動車学校,教育,愛知県,非公開,180千円,125日,10日（2022年）,月平均残業時間:24時間:
2024071894,(株)柄谷工務店,建設,兵庫県,184億,211千円～262千円,105日～122日,確認中,確認中
2024071895,(株)英光,金属製品,埼玉県,6億,178千円～201千円,108日,13日（2023年）,確認中
2024071896,一般社団法人　福祉心話会,福祉サービス,東京都、兵庫県,12億,180千円～218千円,110日,15日（2021年）,確認中
2024071897,(株)シアンス,情報処理,新潟県,4億,165千円～192千円,111日,13.5日（2022年）,月平均残業時間:11.0時間:
2024071898,(株)リスキル,教育,東京都,非公開,240千円,120日,8.8日（2022年）,確認中
2024071899,(株)図研,ソフトウエア,神奈川県,350億,240千円～345千円,126日,11.8日（2023年）,月平均残業時間:19.6時間:
2024071900,ベングループ,不動産,北海道,39億,204千円～230千円,110日,確認中,確認中
